Levels,,,,,,,Code,URL,Attribute name,Type,Overall description,Guidance notes,Level 1 description,Level 2 description,Level 3 description,Level 4 description,Level 5 description,Level 6 description,Level 7 description
1,2,3,4,5,6,7,AUTO,https://sfia-online.org/en/shortcode/9/AUTO,Autonomy,Attributes,"The level of independence, discretion and accountability for results in your role.","Autonomy in SFIA represents a progression from following instructions to setting organizational strategy. It involves:

working under varying levels of direction and supervision
making independent decisions in line with responsibility
taking accountability for actions and their outcomes
delegating tasks and responsibilities appropriately
setting personal, team, or organizational goals.

Effective autonomy encompasses decision-making skills, self-management and the ability to balance independence with organizational goals. Autonomy is closely linked with skills such as decision-making, leadership, and planning.
As professionals advance, their level of autonomy increasingly shapes their ability to drive change, innovate and contribute to organizational success. As professionals advance, their autonomy enables them to lead initiatives and drive strategic outcomes.  At higher levels, individuals shape their role and make decisions that have a wider organizational impact, with minimal supervision.","Follows instructions and works under close direction. Receives specific instructions and guidance, has work closely reviewed.","Works under routine direction. Receives instructions and guidance, has work regularly reviewed.","Works under general direction to complete assigned tasks. Receives guidance and has work reviewed at agreed milestones. When required, delegates routine tasks to others within own team.","Works under general direction within a clear framework of accountability. Exercises considerable personal responsibility and autonomy. When required, plans, schedules, and delegates work to others, typically within own team.","Works under broad direction. Work is self-initiated, consistent with agreed operational and budgetary requirements for meeting allocated technical and/or group objectives. Defines tasks and delegates work to teams and individuals within area of responsibility.","Guides high level decisions and strategies within the organization’s overall policies and objectives. Has defined authority and accountability for actions and decisions within a significant area of work, including technical, financial and quality aspects. Delegates responsibility for operational objectives.","Defines and leads the organization’s vision and strategy within over-arching business objectives. Is fully accountable for actions taken and decisions made, both by self and others to whom responsibilities have been assigned. Delegates authority and responsibility for strategic business objectives."
1,2,3,4,5,6,7,INFL,https://sfia-online.org/en/shortcode/9/INFL,Influence,Attributes,"The reach and impact of your decisions and actions, both within and outside the organization.","Influence in SFIA reflects a progression from impacting immediate colleagues to shaping organizational direction. It involves:

expanding the sphere of interaction and impact
progressing from transactional to strategic interactions
engaging with stakeholders, both internal and external, at increasing levels of seniority
shaping decisions with growing organizational impact
contributing to team, departmental and organizational direction.

Influence is closely linked with other attributes such as, communication and leadership. Effective influence develops through experience and interaction with more senior levels of the organization and industry. This attribute reflects the reach and impact of decisions and actions, both within and outside the organization. 
As professionals advance, their influence extends beyond their team, contributing to strategic decisions and helping shape the organization’s direction. It progresses from awareness of how one's work supports others to directing strategy at an organizational level. The extent of influence is often reflected in the nature of interactions, the level of contacts and the impact of decisions on organizational direction.
","When required, contributes to team discussions with immediate colleagues.","Is expected to contribute to team discussions with immediate team members. Works alongside team members, contributing to team decisions. When the role requires, interacts with people outside their team, including internal colleagues and external contacts.","Works with and influences team decisions. Has a transactional level of contact with people outside their team, including internal colleagues and external contacts.","Influences projects and team objectives. Has a tactical level of contact with people outside their team, including internal colleagues and external contacts.",Influences critical decisions in their domain.  Has operational level contact impacting execution and implementation with internal colleagues and external contacts. Has significant influence over the allocation and management of resources required to deliver projects.,Influences the formation of strategy and the execution of business plans. Has a significant management level of contact with internal colleagues and external contacts. Has organizational leadership and influence over the appointment and management of resources related to the implementation of strategic initiatives.,"Directs, influences and inspires the strategic direction and development of the organization. Has an extensive leadership level of contact with internal colleagues and external contacts. Authorises the appointment of required resources."
1,2,3,4,5,6,7,COMP,https://sfia-online.org/en/shortcode/9/COMP,Complexity,Attributes,The range and intricacy of tasks and responsibilities that come with your role.,"Complexity in SFIA represents a progression from routine tasks to strategic leadership delivering business value. It involves:

handling increasingly varied and unpredictable work environments
addressing a growing range of technical or professional activities
solving progressively complex problems
managing diverse stakeholders
contributing to policy and strategy
leveraging emerging technologies for business value.

Effective management of complexity encompasses skills in problem solving, decision making and planning alongside technical or professional expertise.  This attribute reflects the range and intricacy of tasks and responsibilities in a role, progressing from routine activities to extensive strategic leadership. It can be measured by the level of problem-solving required, the nature and number of stakeholders involved, and the impact of decisions made.
As professionals advance, their ability to navigate and leverage complexity increasingly contributes to organizational innovation, efficiency and competitive advantage.
",Performs routine activities in a structured environment.,Performs a range of work activities in varied environments.,"Performs a range of work, sometimes complex and non-routine, in varied environments.",Work includes a broad range of complex technical or professional activities in varied contexts.,"Performs an extensive range of complex technical and/or professional work activities, requiring the application of fundamental principles in a range of unpredictable contexts.","Performs highly complex work activities covering technical, financial and quality aspects.","Performs extensive strategic leadership in delivering business value through vision, governance and executive management."
1,2,3,4,5,6,7,KNGE,https://sfia-online.org/en/shortcode/9/KNGE,Knowledge,Attributes,The depth and breadth of understanding required to perform and influence work effectively.,"Knowledge in SFIA represents a progression from applying basic role-specific information to leveraging broad, strategic understanding that shapes organizational direction and industry trends. It involves:

applying role-specific knowledge to perform routine tasks
integrating general, role-specific, and industry knowledge
using understanding of technologies, methods, and processes to achieve results
applying in-depth expertise to solve complex problems
leveraging broad knowledge to influence strategic decisions
shaping organizational knowledge management practices.

Effective knowledge application develops through practical experience, formal education, professional training, continuous learning, and mentorship. It encompasses the ability to apply understanding in real-world scenarios, adapt to emerging challenges, and create value for the organization.
As professionals advance, their application of knowledge evolves significantly from basic, role-specific tasks to strategic organizational leadership. This progression involves supporting team activities, applying practices within business contexts, integrating knowledge for complex tasks, offering authoritative advice, and enabling cross-domain decision-making. At higher levels, professionals apply broad business and strategic knowledge to shape organizational strategy and anticipate industry trends.






","Applies basic knowledge to perform routine, well-defined, predictable role-specific tasks.",Applies knowledge of common workplace tasks and practices to support team activities under guidance.,Applies knowledge of a range of role-specific practices to complete tasks within defined boundaries and has an appreciation of how this knowledge applies to the wider business context. ,"Applies knowledge across different areas in their field, integrating this knowledge to perform complex and diverse tasks. Applies a working knowledge of the organization’s domain.","Applies knowledge to interpret complex situations and offer authoritative advice. Applies in-depth expertise in specific fields, with a broader understanding across industry/business.",Applies broad business knowledge to enable strategic leadership and decision-making across various domains.,"Applies strategic and broad-based knowledge to shape organizational strategy, anticipate future industry trends, and prepare the organization to adapt and lead."
1,2,3,4,5,6,7,COLL,https://sfia-online.org/en/shortcode/9/COLL,Collaboration,Business skills/Behavioural factors,"Working effectively with others, sharing resources and coordinating efforts to achieve shared objectives.","Collaboration in SFIA represents a progression from basic team interaction to strategic partnerships and stakeholder management. It involves:

working cooperatively within immediate teams
sharing information and resources effectively
coordinating efforts to achieve common goals
facilitating cross-functional teamwork
building influential relationships across the organization
establishing and managing strategic partnerships.

Effective collaboration encompasses communication, perspective-taking, and the ability to align diverse viewpoints towards common objectives. It also involves creating an environment that encourages knowledge sharing and collective problem-solving.
As professionals advance, their collaborative skills evolve from supporting team goals to shaping organizational culture, driving innovation, and enhancing the organization's ability to navigate complex challenges. At higher levels, collaboration extends to influencing industry-wide cooperation and partnerships.","
Works mostly on their own tasks and interacts with their immediate team only. Develops an understanding of how their work supports others.
","
Understands the need to collaborate with their team and considers user/customer needs.
","
Understands and collaborates on the analysis of user/customer needs and represents this in their work.
","
Facilitates collaboration between stakeholders who share common objectives.  
Engages with and contributes to the work of cross-functional teams to ensure that user/customer needs are being met throughout the deliverable/scope of work. 
","
Facilitates collaboration between stakeholders who have diverse objectives.
Ensures collaborative ways of working throughout all stages of work to meet user/customer needs.
Builds effective relationships across the organization and with customers, suppliers and partners. 
","
Leads collaboration with a diverse range of stakeholders across competing objectives within the organization.
Builds strong, influential connections with key internal and external contacts at senior management/technical leader level
","
Drives collaboration, engaging with leadership stakeholders ensuring alignment to corporate vision and strategy. 
Builds strong, influential relationships with customers, partners and industry leaders.
"
1,2,3,4,5,6,7,COMM,https://sfia-online.org/en/shortcode/9/COMM,Communication,Business skills/Behavioural factors,"Exchanging information, ideas and insights clearly to enable mutual understanding and cooperation.","Communication in SFIA represents a progression from basic team interaction to complex, organization-wide influence and external engagement. It involves:

communicating within immediate teams
exchanging information and ideas clearly
verbal and written skills, active listening, and the ability to use communication tools and platforms appropriately
adapting communication style to diverse audiences, both technical and non-technical
articulating complex concepts in a way that enables informed decision-making
influencing strategy through effective dialogue with senior stakeholders.

As professionals advance, their communication skills evolve from simple information sharing within teams to influencing decisions at the highest levels of an organization. This progression involves adapting communication to different audiences, including senior stakeholders and external partners, and shaping strategic outcomes through effective dialogue. At higher levels, professionals take on the responsibility of using communication to drive organizational direction and engage with industry leaders to achieve business objectives.","
Communicates with immediate team to understand and deliver on their assigned tasks. Observes, listens, and with encouragement, asks questions to seek information or clarify instructions.
","
Communicates familiar information with immediate team and stakeholders directly related to their role.
Listens to gain understanding and asks relevant questions to clarify or seek further information. 
","
Communicates with team and stakeholders inside and outside the organization clearly explaining and presenting information.
Contributes to a range of work-related conversations and listens to others to gain an understanding and asks probing questions relevant to their role.
","
Communicates with both technical and non-technical audiences including team and stakeholders inside and outside the organization.
As required, takes the lead in explaining complex concepts to support decision making.
Listens and asks insightful questions to identify different perspectives to clarify and confirm understanding.
","
Communicates clearly with impact, articulating complex information and ideas to broad audiences with different viewpoints.
Leads and encourages conversations to share ideas and build consensus on actions to be taken. 
","
Communicates with credibility at all levels across the organization to broad audiences with divergent objectives.
Explains complex information and ideas clearly, influencing the strategic direction.
Promotes information sharing across the organization. 
","
Communicates to audiences at all levels within own organization and engages with industry.
Presents compelling arguments and ideas authoritatively and convincingly to achieve business objectives. 
"
1,2,3,4,5,6,7,IMPM,https://sfia-online.org/en/shortcode/9/IMPM,Improvement mindset,Business skills/Behavioural factors,"Continuously identifying opportunities to refine work practices, processes, products, or services for greater efficiency and impact.","Having an improvement mindset in SFIA represents a progression from recognizing opportunities for enhancement to driving a culture of ongoing optimization. It involves:

identifying areas for improvement in processes, products, or services
implementing changes to enhance efficiency and effectiveness
assessing the impact of improvements and refining approaches
encouraging and supporting a mindset of continuous improvement in others
aligning improvement initiatives with organizational objectives
cultivating a culture of ongoing enhancement and optimization

An improvement mindset involves proactively seeking opportunities to refine and optimize work practices, processes, products, and services. This reflects the growing responsibility to identify, implement, and lead improvements across increasing scopes of influence.As professionals advance, their focus shifts from identifying opportunities for improvement in their own tasks to leading improvement initiatives across teams and the organization. This progression includes enhancing practices at a personal level, supporting others in promoting a culture of continuous optimization, and ensuring improvement efforts align with broader organizational goals. At higher levels, professionals take responsibility for embedding ongoing improvement strategies throughout the organization, driving long-term impact.","
Identifies opportunities for improvement in own tasks. Suggests basic enhancements when prompted.
","
Proposes ideas to improve own work area.

Implements agreed changes to assigned work tasks.

","
Identifies and implements improvements in own work area.
Contributes to team-level process enhancements.
","
Encourages and supports team discussions on improvement initiatives.

Implements procedural changes within a defined scope of work.

","
Identifies and evaluates potential improvements to products, practices, or services.
Leads implementation of enhancements within own area of responsibility.
Assesses effectiveness of implemented changes.
","
Drives improvement initiatives that have a significant impact on the organization.
Aligns improvement strategies with organizational objectives.
Engages stakeholders in improvement processes.
","
Defines and communicates the organizational approach to continuous improvement.
Cultivates a culture of ongoing enhancement.
Evaluates the impact of improvement initiatives on organizational success.
"
1,2,3,4,5,6,7,CRTY,https://sfia-online.org/en/shortcode/9/CRTY,Creativity,Business skills/Behavioural factors,"Generating and applying innovative ideas to enhance processes, solve problems and drive organizational success.","Creativity in SFIA represents a progression from basic idea generation to driving strategic innovation. It involves:

generating novel ideas and solutions
applying innovative thinking to improve processes
solving complex problems creatively
encouraging and facilitating creative thinking in others
developing a culture of innovation
aligning creative initiatives with organizational strategy.

Effective creativity encompasses imaginative thinking, problem-solving skills and challenging conventional approaches. It thrives in environments that encourage calculated risk-taking and value innovative ideas.
As professionals advance, their role shifts from contributing to creative processes to inspiring and leading innovation at a strategic level. This evolution underscores the growing importance of creative thinking in driving organizational success and navigating complex challenges across various disciplines.","

Participates in the generation of new ideas when prompted. 

","

Applies creative thinking to suggest new ways to approach a task and solve problems.

","

Applies and contributes to creative thinking techniques to contribute new ideas for their own work and for team activities.

","
Applies, facilitates and develops creative thinking concepts and finds alternative ways to approach team outcomes.
","
Creatively applies innovative thinking and design practices in identifying solutions that will deliver value for the benefit of the customer/stakeholder.
","
Creatively applies a wide range of new ideas and effective management techniques to achieve results that align with organizational strategy.
","
Champions creativity and innovation in driving strategy development to enable business opportunities.
"
1,2,3,4,5,6,7,DECM,https://sfia-online.org/en/shortcode/9/DECM,Decision-making,Business skills/Behavioural factors,"Applying critical thinking to evaluate options, assess risks and select the most appropriate course of action.","Decision making in SFIA represents a progression from routine choices to strategic, high-impact decisions. It involves:

evaluating information and assessing risks
balancing intuition and logic
understanding organizational context
determining the best course of action
taking accountability for outcomes.

Effective decision making encompasses analytical and critical thinking skills, the ability to assess risks and consequences, and a comprehensive understanding of business context. It also involves knowing when to escalate issues and how to balance competing priorities.
As professionals advance, their decision-making evolves from addressing routine issues to shaping strategic directions. Early on, decisions focus on managing tasks or small projects. Over time, decision-making becomes more complex, requiring greater judgement, risk assessment, and accountability for high-impact outcomes. At higher levels, professionals are responsible for making critical decisions that influence organizational strategy and success.","
Uses little discretion in attending to enquiries.  
Is expected to seek guidance in unexpected situations. 
","
Uses limited discretion in resolving issues or enquiries.
Decides when to seek guidance in unexpected situations. 
","
Uses discretion in identifying and responding to complex issues related to own assignments. 
Determines when issues should be escalated to a higher level. 
","
Uses judgment and substantial discretion in identifying and responding to complex issues and assignments related to projects and team objectives.
Escalates when scope is impacted. 
","
Uses judgement to make informed decisions on actions to achieve organizational outcomes such as meeting targets, deadlines, and budget.
Raises issues when objectives are at risk.
","
Uses judgement to make decisions that initiate the achievement of agreed strategic objectives including financial performance.
Escalates when broader strategic direction is impacted.
","
Uses judgement in making decisions critical to the organizational strategic direction and success.
Escalates when business executive management input is required through established governance structures. 
"
1,2,3,4,5,6,7,DIGI,https://sfia-online.org/en/shortcode/9/DIGI,Digital mindset,Business skills/Behavioural factors,Embracing and effectively using digital tools and technologies to enhance performance and productivity.,"Having a digital mindset in SFIA represents a progression from basic digital literacy to driving organizational digital strategy. It involves:

understanding and applying digital technologies
adapting to rapidly evolving digital landscapes
using digital tools, AI and data to enhance work processes
driving digital innovation and transformation
understanding the implications of emerging technologies, including AI, and their potential to drive organizational change
ensuring digital governance and compliance.

An effective digital mindset encompasses continuous learning, adaptability and the ability to see how digital technologies can transform business models and strategies. It also involves understanding the implications of emerging technologies and their potential to drive organizational change.
As professionals advance, their digital mindset evolves from simply using digital tools to shaping and leading organizational digital strategies. Early in their careers, they focus on applying digital skills to their roles, but as they progress, they begin driving innovation and using emerging technologies to transform work processes. At higher levels, professionals are responsible for leading digital transformation, ensuring compliance with digital governance, and embedding a digital culture across the organization.
","
Has basic digital skills to learn and use applications, processes and tools for their role. 
","
Has sufficient digital skills for their role; understands and uses appropriate methods, tools, applications and processes. 
","
Explores and applies relevant digital tools and skills for their role.
Understands and effectively applies appropriate methods, tools, applications and processes. 
","
Maximises the capabilities of applications for their role and evaluates and supports the use of new technologies and digital tools.
Selects appropriately from, and assesses the impact of change to applicable standards, methods, tools, applications and processes relevant to own specialism. 
","
recognizes and evaluates the organizational impact of new technologies and digital services.
Implements new and effective practices. 
Advises on available standards, methods, tools, applications and processes relevant to group specialism(s) and can make appropriate choices from alternatives. 
","
Leads the enhancement of the organization’s digital capabilities. 
Identifies and endorses opportunities to adopt new technologies and digital services.
Leads digital governance and compliance with relevant legislation and the need for products and services.
","
Leads the development of the organization’s digital culture and the transformational vision.  
Advances capability and/or exploitation of technology within one or more organizations through a deep understanding of the industry and the implications of emerging technologies.
Accountable for assessing how laws and regulations impact organizational objectives and its use of digital, data and technology capabilities.
"
